Wuthering Heights~Kate Bush
Careless Whisper~George Michael
Common People~William Shatner
And She Was - 2005 Remastered Version~Talking Heads
September~"Earth, Wind & Fire"
I2I~"Tevin Campbell, Rosie Gaines"
Hips Don't Lie~"Shakira, Wyclef Jean"
Maniac~Michael Sembello
Y.M.C.A.~Village People
Wake Me up Before You Go-Go~Wham!
Holding Out for a Hero~Bonnie Tyler
All Star~Smash Mouth
You Make My Dreams~Daryl Hall & John Oates
Everybody (Backstreet's Back) - Radio Edit~Backstreet Boys
Ocean Man~Ween
Hey Ya! - Radio Mix / Club Mix~OutKast
Hungry Like The Wolf~Duran Duran
Sweet Dreams (Are Made of This) - Remastered~Eurythmics
Take On Me~a-ha
Never Gonna Give You Up~Rick Astley
The Devil Went Down to Georgia~The Charlie Daniels Band
Soviet National Anthem (Hymne National De L'Urss)~The Red Army Choir
Livin' la Vida Loca~Ricky Martin
Through The Fire And Flames~DragonForce
Goofy Goober Rock~Spongebob Squarepants
Hooked on a Feeling~"Blue Swede, Björn Skifs"
Come And Get Your Love~Redbone
Harder Better Faster Stronger~Daft Punk
Sweet Caroline - Single Version~Neil Diamond
Dream On~Aerosmith
Pokemon Theme~Pokémon
Dancing Queen~ABBA
Thomas Theme~Thomas & Friends
The Fresh Prince of Bel-Air~DJ Jazzy Jeff & The Fresh Prince
Kung Fu Fighting~Carl Douglas
Misirlou~Dick Dale and his Del-Tones
Heyyeyaaeyaaaeyaeyaa (Fabulous Secret Powers)~SLACKCiRCUS
Trololo Song~Mr. Trololo
You Reposted in the Wrong Neighborhood I Glue70 Mashup~Shokk
Shooting Stars~Bag Raiders
Tunak Tunak Tun~Daler Mehndi
Lose Yourself - Soundtrack Version~Eminem
Shake That~"Eminem, Nate Dogg"
Sweatshirt~Jacob Sartorius
The Final Countdown~Europe
Ghostbusters~"Ray Parker, Jr."
Shia LaBeouf Live~Rob Cantor
Fireflies~Owl City
Wii Turn Up (Wii Menu Remix)~Murcy
Funky Town~Lipps Inc.
Roundabout - Remastered Version~Yes
Deja Vu (Initial D)~Tsuko G.
Guren No Yumiya~Linked Horizon
I'm Gonna Be (500 Miles)~The Proclaimers
The Real Slim Shady~Eminem
Don't You (Forget About Me) - Remastered~Simple Minds
Chariots Of Fire~Vangelis
We Built This City~Starship
Africa~Toto
Seinfeld~TV Themes
Jessie's Girl~Rick Springfield
Three More Weeks~Elevator To Hell
My Name Is~Eminem
Fuck You~CeeLo Green
FACK~Eminem
Bitch~Screamo
Bring Me To Life~Evanescence
Far Away~Tomppabeats
What Is Love~Haddaway
Fruit Salad~The Wiggles
Pumped Up Kicks~Foster The People
Bohemian Rhapsody - Remastered 2011~Queen
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio~"Eiffel 65, Gabry Ponte"
Get on Your Feet~Gloria Estefan
Babooshka~Kate Bush
Down Under~Men At Work
All I Want for Christmas Is You~Mariah Carey
Rockaway Beach - Remastered Version~Ramones
Waterloo~ABBA
Mambo No. 5 (A Little Bit of...)~Lou Bega
Run Away - Radio Edit~"Sunstroke Project, Olia Tira"
The One and Only~Chesney Hawkes
Hollywood Nights~Bob Seger
The Boys Are Back in Town~Thin Lizzy
Rock You Like a Hurricane~Scorpions
Welcome To Your Life~Grouplove
Rêverie~"Claude Debussy, Alain Planes"
Last Christmas~Wham!
And She Was [E.T. Version] (45 Version)~Talking Heads
The Duck Song~Bryant Oden
The Duck Song 2~Bryant Oden
The Duck Song 3~Bryant Oden
Man's Not Hot - Christmas Edition~Big Shaq
Man's Not Hot~Big Shaq
Kazoo Kid Trap - Original Mix~Mike Diva
Nyan Cat Theme~Nyan Cat
PPAP (Pen Pineapple Apple Pen) - Long Version~PIKOTARO
F.U.N. Song~"Spongebob Squarepants, Plankton"
SpongeBob SquarePants Theme Song~Spongebob Squarepants
I Like To Move It~Crazy Frog
Mad World (Feat. Michael Andrews)~"Gary Jules, Michael Andrews"
Friday~Rebecca Black
The Time Is Now (John Cena)~"John Cena, Tha Trademarc, WWE"
Everything Is AWESOME!!!~"Tegan and Sara, The Lonely Island"
Campfire Song Song~Spongebob Squarepants
We like to Party! (The Vengabus)~Vengaboys
We Are Number One - Instrumental Version~4Fate
Krusty Krab Spongebob Trap Remix Vine Theme~William Jacobs
Watch Me (Whip / Nae Nae)~Kidz Bop Kids
The Safety Dance~Men Without Hats
"Dora The Explorer Party Mix (including ""Dora The Explorer Theme" "& ""Travel Song"") ", Dora The Explorer
Spooky Scary Skeletons~Spooky Scary Skeletons
Ripped Pants~Spongebob Squarepants
A Thousand Miles~Vanessa Carlton
Ultimate~Denzel Curry
Mii Channel (Nintendo Wii)~The OneUps
Super Mario Bros - Original~Stryker Pose
Russian National Anthem~The Red Army Choir
My Little Pony Theme Song~"Twilight Sparkle, Apple Jack, Rainbow Dash, Pinkie Pie, Rarity, Fluttershy"
Bill Nye the Science Guy~Mr Dooves
Crank That (Soulja Boy)~Soulja Boy
Peanut Butter Jelly Time - Radio~Chip-man & The Buckwheat Boyz
It's Raining Men~The Weather Girls
Elmo's Rap Alphabet (Elmo Sings Rap Alphabet)~Elmo
Ok 2 B Gay~Tomboy
Milkshake - Radio Mix~Kelis
"Stayin' Alive - From ""Saturday Night Fever" "Soundtrack ", Bee Gees
Thrift Shop~Kidz Bop Kids
Narwhals~Mr Weebl
"Turn Down For What - From ""Alvin And The Chipmunks: The Road Chip" "Soundtrack ", Alvin & The Chipmunks
Air Horn~Gabriel Mercado
Only Time~Enya
"Circle Of Life - From ""The Lion King""/Soundtrack ", "Carmen Twillie, Lebo M."
"Let It Go - From ""Frozen""/Soundtrack Version ", Idina Menzel
Dat Boi (O Shit Waddup!)~Dj Cutman
Hollaback Girl~Gwen Stefani
Baby Got Back~Sir Mix-A-Lot
"My Heart Will Go On - Love Theme from ""Titanic" "", Céline Dion
"My Neck, My Back (Lick It) - Street/Club Version ", Khia
Deepthroat~cupcakKe
Sanic Main Theme~"Sanic, Dr. Robotnek"
Big Time Rush~Big Time Rush
Casin~glue70
Epic Sax Guy~S. Stepanov
Hit or Miss~Jacob Sartorius
S.I.M.P. (Squirrels in My Pants)~2 Guys n the Parque
KahootGm~GraphicMuzik
Fuck Tha Police~N.W.A.
I Found A Way~Drake Bell
X Gon' Give It To Ya~DMX
Dicks out for Harambe~Rockie Gold
Bed Intruder Song~"Antoine dodson & The Gregory Brothers, Antoine Dodson, The Gregory Brothers"
Where's Gary?~"Spongebob, Sandy, Mr. Krabs, Plankton & Patrick"
Sexy And I Know It~LMFAO
Smoke Weed Everyday (feat. Diezel)~"Trick Trick, Diezel"
Ebola (La La)~Rucka Rucka Ali
"White & Nerdy (Parody of ""Ridin'" "by Chamillionaire feat. Krayzie Bone) ", """Weird Al" "Yankovic"
#SELFIE~The Chainsmokers
Pokerap~Pokémon
The Creativity Song~Don't Hug Me I'm Scared
Green Trill Zone~"Sanic, Dr. Robotnek"
Like An Enderman~ThnxCya
Stronger~Kanye West
Pump It~The Black Eyed Peas
Gold Digger~"Kanye West, Jamie Foxx"
April Showers~Proleter
April Showers~PREPSZN Entertainment
My Dick~Mickey Avalon
Yeah!~"Usher, Lil Jon, Ludacris"
Best I Ever Had~Drake
Sweet Victory~"David Glen Eisley, Bob Kulick"
Finest Girl (Bin Laden Song)~The Lonely Island
Goodies~"Ciara, Petey Pablo"
Take Me Out~Franz Ferdinand
Closing Time~Semisonic
Summer Of '69~Bryan Adams
More Than A Feeling~Boston
Have You Ever Seen The Rain?~Creedence Clearwater Revival
Livin' On A Prayer~Bon Jovi
Come Out and Play~The Offspring
Every Breath You Take - Remastered 2003~The Police
Smells Like Teen Spirit~Nirvana
Dr. Feelgood~Mötley Crüe
Don't Speak~No Doubt
We Are The Champions~Queen
No Rain~Blind Melon
Loser~Beck
Buddy Holly~Weezer
Bad Moon Rising~Creedence Clearwater Revival
Why Don't You Get A Job~The Offspring
Good Riddance (Time of Your Life)~Green Day
In The Air Tonight~Phil Collins
Come Together~Aerosmith
Dani California~Red Hot Chili Peppers
Wild Side~Mötley Crüe
Foreplay / Long Time~Boston
You Give Love A Bad Name~Bon Jovi
I Want To Know What Love Is - Remastered~Foreigner
